X Position,Y Position,Z Position,Body Angle x,Body Angle y,Body Angle z,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,m.tt
-0.059530196611870416,0.042324905851537344,0.22332348421040488,-0.10766671362690708,0.19186932342728946,-0.2265218302052129,0.490715645399221,1.1883819046924393,0.5219902192640614,1.0200627229190706,-0.37247952216909513,-1.500161182468991,-0.36504682491612894,-1.4988645906954456,0.004898975492460211
-0.05638768667630206,0.040945441607156775,0.22325000398435355,-0.10651350402235205,0.19264450547342174,-0.22111811431066872,0.4629116862162932,1.1892297754551648,0.49425585316586523,1.0205292418503475,-0.40031534916966677,-1.4999999791708394,-0.3928849438948984,-1.498323977346446,0.003550507363229649
-0.05500511054766111,0.04034307759164376,0.22319334972580768,-0.10594398832796795,0.19298197788048194,-0.21875425731256748,0.4507349258795015,1.1895540768037507,0.48212820281485186,1.0208768844365625,-0.4124747950990459,-1.4996679325710751,-0.40503877885101663,-1.498260914812024,0.001550508944671125
-0.05061369315754496,0.03845414912230991,0.22290053043434854,-0.1040456368934041,0.19403977094085742,-0.21121177798175042,0.41227533457135973,1.1904463616962369,0.44379717399776275,1.0219661393689474,-0.450887485008417,-1.498627364519468,-0.4434423116484606,-1.4980361691295583,0.004898975338470335
-0.04740647643145483,0.03709990819260142,0.22278596357264,-0.10258601940168742,0.19480539181082526,-0.20568606032011463,0.38442296906776163,1.1912138805359098,0.41600527441185753,1.0227531980534554,-0.4787430309208402,-1.4978738024653964,-0.47128079612062845,-1.4976384709344939,0.0035505072516265335
-0.04599965332605085,0.03651232162869875,0.22281925172244016,-0.10193053446788626,0.19514040986404127,-0.20325890284640485,0.37226531730149753,1.1915807461040184,0.40386840479898795,1.0230910401414703,-0.49091572925703814,-1.4975461106227281,-0.4834382226537583,-1.4973797865210432,0.0015505089437495845
-0.041534928266750065,0.03467267996523758,0.22216981624925955,-0.09973982451787808,0.19618366580995122,-0.19550886897274564,0.33374322304614995,1.1923265749220124,0.36550493933660566,1.0241458199187563,-0.5293492192777184,-1.4964900699071437,-0.5218284771355118,-1.496567643750832,0.004898975335557887
-0.038278538357295624,0.03335584304656355,0.22224068340075903,-0.09806858597872936,0.1969397868047751,-0.18982637021316814,0.30584852952390157,1.1929962589627912,0.33769727323975424,1.024916300120942,-0.5572131319924233,-1.4957319173880628,-0.5496539230294628,-1.49598569487778,0.0035505072495159995
-0.036851028682310084,0.032785098297402275,0.22251159180704283,-0.09732378428706316,0.19727279987226257,-0.18733077728808412,0.2936942614165131,1.1933791042336588,0.3255586109675947,1.025252960132031,-0.5693903410033818,-1.4954064034326349,-0.561806669745977,-1.4957295482661375,0.00155050894383979
-0.032320295551131056,0.031000923095024422,0.2214977688152956,-0.0948608708418215,0.19832252772219028,-0.1793674807571296,0.2552099236785873,1.1942501437143036,0.2871994720902199,1.0263227741695393,-0.6078284832644938,-1.4943501481493735,-0.6001688325197401,-1.4949256812088005,0.004898975335841993
-0.029015904796160723,0.02972580604314353,0.2222024417494965,-0.09300128197945065,0.19909204985355247,-0.17353144485157457,0.22734670786723968,1.1949884514715834,0.25940276141830143,1.0271090620236913,-0.6356852988791999,-1.493584023167052,-0.62796683838608,-1.4943300810767837,0.0035505072497222234
-0.027567463546025614,0.02917374440504335,0.22262805167952954,-0.09217694967027175,0.19943329429422474,-0.17096910474659224,0.21521317825551903,1.1954116028714818,0.24727176232174186,1.0274551653442665,-0.6478570609359674,-1.4932524484356275,-0.640105795816593,-1.4940635955555297,0.0015505089443638709
-0.022970439074996803,0.02745055714639435,0.22124904296090162,-0.08947999270256289,0.20052444216350374,-0.16279524840992063,0.17684143198776492,1.1965270762338835,0.2089505901431032,1.0285742365462334,-0.6862685026499102,-1.4921717680316982,-0.6784075904850828,-1.4932201479353568,0.004898975337497058
-0.019618062492558118,0.0262210344130835,0.2224231065294528,-0.08746081161198115,0.20133334202763228,-0.15680521724204138,0.149049406873317,1.197393253230523,0.18119101023217046,1.0294020118946547,-0.7140935881282101,-1.4913756169033767,-0.7061526802054326,-1.4925796950612698,0.003550507250922097
-0.018148692751282038,0.02568916179003333,0.22273488552353016,-0.08656778328071767,0.20169300855494787,-0.1541746493378034,0.13693738040344,1.197841100476105,0.16907749933322028,1.029766590860655,-0.7262476866174049,-1.4910267688800256,-0.7182684469181507,-1.492288204503527,0.001550508915484139
-0.013484926082134804,0.024030156276121557,0.22099230827301963,-0.0836638939001511,0.20284978229077336,-0.14578469162019939,0.09859583227559755,1.1989290151627296,0.13081973726021506,1.030941354022476,-0.7645967098552696,-1.4898821587374493,-0.7564860920948718,-1.4913554449923323,0.004898975246247994
-0.0100838588600065,0.022848135061476184,0.2223142384659203,-0.08150373415227588,0.20371372908251253,-0.13963570818498125,0.07084178043356543,1.1998038352237277,0.10311375191578993,1.031817816556978,-0.7923693279303372,-1.4890328735844296,-0.7841625778925179,-1.4906440476677036,0.0035505071847900527
-0.008593082377567106,0.022336991667754987,0.2225294735874054,-0.08054752673646622,0.2040969657485815,-0.13693477028914264,0.05871147810001582,1.2001625675939362,0.09102310101026652,1.0322018410763714,-0.8044969006358749,-1.4886557458887568,-0.7962560206377116,-1.4903098988237318,0.0015505089504443403
-0.0038611331152101787,0.020742570927625804,0.22042507358061433,-0.07745895590806569,0.20533540453015736,-0.12831735357017834,0.020264190162643622,1.2008357738158113,0.0528417799208467,1.0334322079890066,-0.8427534967058092,-1.4874161495269247,-0.8343854716071973,-1.4892428102881807,0.004898975356706858
-0.00041067554021610643,0.019607914933719744,0.22219713229331714,-0.07518127254627732,0.20626761612930553,-0.1220004184394104,-0.007489796719374044,1.2015993892387467,0.025200712774501206,1.0343648365281575,-0.8704556017510071,-1.4864962349611226,-0.8619822051520284,-1.4884401927239574,0.0035505072648449043
0.0011016501060649964,0.01911784947445318,0.22250484440803844,-0.07417705658728126,0.2066831428780334,-0.11922517526234454,-0.0195860364469458,1.2019950158372308,0.01314030833896814,1.0347818359193663,-0.8825510993215714,-1.4860892012324005,-0.8740401326712436,-1.488063843727211,0.0015505088544546797
