Node timesteps,Torque Hip 1,Torque Knee 1,Torque Hip 2,Torque Knee 2,Torque Hip 3,Torque Knee 3,Torque Hip 4,Torque Knee 4
0.015181239040424618,6.864593495912418,-6.864546192997361,-2.317712967468012,0.33460807882304044,2.9775636906034704,1.1060440323045613,-5.0074896039869365,3.1060443900762515
0.01000003257583234,5.541229344700863,-5.738814162232068,6.1600524398313405,-3.155424128666968,-1.4709161694913007,-0.477058605392572,-0.8896639343542553,0.7492661556865504
0.010000022043453079,6.243712280372167,2.008549518732771,3.424486409591388,-1.982731363899837,-1.6894967128274465,-0.9202520780308133,-2.3065266232905035,-0.7802805820033898
0.01000002906215146,0.8709226876787004,0.43028135931082456,0.9768381957787622,-1.0594311450404819,-0.9040753134004673,-0.5872030534817767,-1.359349244108212,-0.39695610899422523
0.01000002653626748,-4.88683608548732,-2.0474279809520284,0.6165353721428836,-0.19768323610825558,0.0249243497577486,0.006392051836996026,0.5679018657138533,0.2972529712028705
0.010000035900505716,-1.6752937680224285,-0.4260492824289786,2.1553085358262947,-1.2476687568018094,-0.6942896479380126,-0.216788292088277,-0.2777995526376516,-0.10317448999115168
0.01000003512106301,0.9093956479340007,0.39504803562062407,0.0634630343414569,-0.47149832672054354,-0.7933753925051821,-0.4474910016013065,-0.7829435340322399,-0.2718699618167406
0.01000003862821228,0.257001418232121,-0.7223450539747721,-0.06682533424587636,-0.9866321624472664,-0.9245257802163066,-0.2338597152139866,-0.02702419030229734,0.5126299955495375
0.010000034607265437,0.6307167701889731,-1.068098425438299,-0.7536739726674206,-3.379579528075291,1.0603377312762592,0.36189607692449405,1.57196348448943,0.6677056635419443
0.010000005867395743,-6.862892587181108,5.859475176161283,0.9157555979800285,-0.5808420399745957,-3.298417141289052,0.379880400017345,-3.0799099570821555,0.590432306338063
