X Position,Y Position,Z Position,Body Angle x,Body Angle y,Body Angle z,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,X Velocity,Z Velocity,Body Velocity x,Body Velocity y,Body Velocity z,Hip 1 Velocity,Knee 1 Velocity,Hip 2 Velocity,Knee 2 Velocity,Hip 3 Velocity,Knee 3 Velocity,Hip 4 Velocity,Knee 4 Velocity,X acceleration,Y acceleration,Z acceleration,Body X acceleration,Body Y acceleration,Body Z acceleration,Hip 1 acceleration,Knee 1 acceleration,Hip 2 acceleration,Knee 2 acceleration,Hip 3 acceleration,Knee 3 acceleration,Hip 4 acceleration,Knee 4 acceleration,GRF 1x ps,GRF 1x ng,GRF 1z,GRF 2x ps,GRF 2x ng,GRF 2z,GRF 3x ps,GRF 3x ng,GRF 3z,GRF 4x ps,GRF 4x ng,GRF 4z
0.0006621529722081018,0.0006621529722081018,0.18182144933070146,-0.039586308004628645,0.06490629582290532,0.0001849716473407842,-0.3602391345044289,1.3585070486445643,-0.23309563436867453,1.067754029720022,0.2795348309875358,-0.8110813934421751,0.3275107954910886,-0.7179167008428166,0.10712874793674934,0.09644358733157954,0.3352087392930189,-0.8184758890991004,0.015441918812121723,-1.4252181717691614,-2.2224214131106,-1.9442004564924016,-0.7963709070067404,-0.7693183528165394,-2.050714262223648,-0.09911459738416617,-2.861965317131964,-10.97591447501885,-10.97591447501885,0.6386942185990434,18.02931214244161,59.005797448000806,-21.87411101030351,-514.6693027896005,4636.345685749873,-1356.813019747105,3177.1469648943344,1216.5869356714088,-1813.8106748109356,1434.843661523191,-1980.1898798472016,0.34517925926100085,21.271075747095498,87.65472092695106,0.38108640168211955,37.941539037713,67.4074268399932,26.691940609269665,0.4657472011866437,52.975018644223255,26.26037351254298,0.4334773297510565,64.31369882962126
0.0008267293575555055,0.0008267293575555055,0.18197364698188548,-0.03909319514898825,0.06371898997581431,0.00021197746309372745,-0.3628164498286846,1.3570956080667946,-0.2374586040864075,1.0693686749951785,0.2796624040823456,-0.8155755975773334,0.32926816196078934,-0.7246202086310628,0.10816800185213353,0.10079670084307613,0.31926067383259105,-0.7805290996284168,0.009051705732316591,-1.414844820307125,-1.9530031229305382,-1.967121915806238,-0.653482247061748,-0.6045141373065799,-1.965556020279209,0.15135758841111988,-3.1669460798141955,1.5816369659546343,1.5816369659546343,3.229338819166069,-6.517362064380016,10.792411746817534,-4.990417043426152,68.24612425708136,-174.19938886723193,217.19868098523668,-405.7451940223807,-120.37750708486635,277.54190868139113,-170.59664452314482,192.21970364179379,0.4006635007740024,0.2825414284503638,1.2305134187231639,2.8787704009933934,0.5453317261809785,6.041332799243589,1.8448621857025533,1.4437381425515718,5.7778962280579,2.143491142835728,1.4951580997423968,9.717527345341118
0.0014021980708379702,0.0014021980708379702,0.1825229704485352,-0.03751851589854106,0.05970915733489874,0.00018060889011731055,-0.36780796961391776,1.3384615549470869,-0.2400454058037316,1.0514508976813728,0.2707394347091777,-0.8176938336820098,0.3213525276937873,-0.7302444288623632,0.12074210959175617,0.11799702745240898,0.2988432079936606,-0.7916306412712044,-0.013862602954900955,-0.8192427058196272,-4.3773428852675,0.08863903796098876,-4.767643250604556,-2.245667400986235,0.14206912950314848,-2.343555959373055,-0.17861070665788675,1.9891198733104305,1.9891198733104305,2.7607990085901144,-8.562883112816055,6.845480734112144,-1.716727645771156,62.68597267238204,-210.52091984306728,203.11599338128997,-378.79896577338036,-159.12834686749838,145.8288853863627,-293.6053924370112,394.4825014853713,0.22485674149088022,0.26011779621899833,0.8758007965876733,3.070562644687086,0.7379373363872115,6.575812467438341,0.6502609274303014,2.9053951452836015,5.760699683361109,0.8853386615710108,2.2330043531931962,5.529545576803145
0.0018378956051196642,0.0018378956051196642,0.18295717471665504,-0.03655952216713419,0.05708491407586635,0.00014614687349853709,-0.37128950630223895,1.3263193422183341,-0.24190629282018178,1.0393035393263075,0.26481144287027797,-0.8200703056318764,0.3154245154155777,-0.7332716303087824,0.11978740783380819,0.12191636281983707,0.22547519902635454,-0.6437526926031236,-0.0011699575184663587,-1.232354910827247,-1.7511973830834628,-1.5618436527187636,-1.0375927194896089,-0.6569798012218813,-1.9717358900888737,-0.42643070494495217,-2.070758374271422,-3.3016984105440623,-3.3016984105440623,-1.0739884666634123,-35.78283798377628,86.88118319520495,10.085677389158953,-349.2137383419128,1979.1971164751624,-1333.4049559209755,2907.6616677522043,1241.4209874017242,-1542.755533271909,1641.7379508291854,-1768.7041085113522,0.6156778222637773,14.381861466987763,29.97685398497248,0.5195994654871245,34.14878461695538,65.14877003744013,29.979610424696155,0.5113318143894636,47.081918442245495,43.34767791275283,0.4908648220729072,66.37996575461818
0.0020249532902080532,0.0020249532902080532,0.1831437448572518,-0.03624416277007029,0.05613867720858014,0.00014833468195942005,-0.37375254663927504,1.3260139622299505,-0.24540676447364804,1.0402741855303477,0.26473331488298907,-0.8253275193751498,0.31612995671691707,-0.739016334397695,0.12020645538082185,0.12361325491832843,0.20331961949254523,-0.6163460022103129,-0.001157975418100522,-1.256914233265154,-1.3632715689138193,-1.4622181294461898,-0.7736007630368134,-0.6616086655017389,-2.1112907718512157,-0.350836729987851,-2.405449338373007,0.8122612568694676,0.8122612568694676,2.662261144646126,-9.776745237406926,8.147836325224192,-1.0114818754852957,72.36991519907475,-159.89324282784986,258.1226472087308,-288.91366133160636,-174.7422955140612,288.7735741702986,-192.2473771371301,211.86450566946485,0.8439688035734572,0.3470825367994369,2.0028955371255543,3.726123645455144,0.4141238509491075,6.559050646534497,1.0641457360455493,2.186380398625745,5.646707729329677,1.3356503865187335,2.7293574013651156,6.9187947535774965
0.002647384814329631,0.002647384814329631,0.18382817584519448,-0.035266788436558325,0.05297669085696973,0.00010764088907182784,-0.37740080463096276,1.3090670616770193,-0.24565770458120978,1.0236110025952052,0.2558521210089345,-0.8247290298756357,0.30720481874816236,-0.739830289840291,0.12697109632256998,0.14626646350636194,0.1715853620798937,-0.6152453945580064,-0.014317492847488312,-0.5185205984766321,-4.141990545193735,0.6370125182806577,-4.503775165181902,-2.266216680442968,1.1422737525345077,-2.395241166315648,0.8475575030389862,0.988691171675613,0.988691171675613,3.996475925744257,-10.428892689091338,8.26453532382388,-3.0346492533894756,69.1135031450854,-279.83938074516624,235.50426508769038,-455.9752102124698,-165.43040633862822,382.25873705785676,-213.63495439639559,406.0318468682724,0.231551841364834,0.26386334211229523,0.8924267220415444,1.896575155233625,0.9823380102416508,5.923153674398692,1.6154479846118466,1.2194466268375543,5.527174733460404,1.607433544944461,1.5945995520068323,5.5511078078744465
0.0031066291662062598,0.0031066291662062598,0.18436603579142538,-0.03477935442481775,0.050939003803062946,4.310235066296502e-05,-0.3801616315218401,1.297829880930002,-0.24482770263741144,1.0104813563327404,0.2491719914017271,-0.8233768067527274,0.30064424846292437,-0.7396881411099882,0.12550390614048004,0.14848438289398294,0.08898616554634577,-0.4917730873491665,-0.02087074572830597,-1.1709869002969846,-1.3900812701146503,-0.5598375148660065,-2.0122667174897364,-1.0918623983675084,-1.0309223886980505,-0.792183538800332,-1.4164766059755398,-2.272901641695076,-2.272901641695076,-4.032945907608444,-39.08972720003158,68.24523399277429,0.05770918014253508,-509.8451849410058,2150.6969366401186,-1077.413670235742,2222.708859592714,971.6504365812181,-1912.0736402563589,1314.2246028318668,-2013.7552827210384,0.9012531568949121,17.635243195391833,34.80076251812445,0.6867281820864998,29.70143275578118,54.12975008062995,18.277900592969928,1.0483097497360092,44.650784528604866,27.794310450914363,0.5634451241334038,56.92430982342253
0.0033155514920263363,0.0033155514920263363,0.18460219710800466,-0.034649141592691224,0.050185495364201,7.657218858616166e-06,-0.38266000459817606,1.2982273203500643,-0.24710404580956488,1.010999853179375,0.2484432489978007,-0.8278260778538358,0.30058443414696917,-0.744653182548778,0.12690912212300026,0.1450249903603235,0.07830230203251783,-0.465717787198466,-0.021613591057821988,-1.2027363077245468,-0.9290952174800309,-0.8611487170616158,-1.0627971477981877,-1.0121499572838835,-1.41357074559983,-0.704866534306158,-1.769467547306437,1.362190279574447,1.362190279574447,-0.13339244658174054,-4.989744256735107,7.4688590877240175,-0.39993061264144286,61.256445582811736,-121.29401921214594,3.5229863399190084,18.203485007707588,-116.14013915077145,171.89503008273707,-138.166155887064,173.9520678958405,1.0712981243077662,0.3991476695470402,2.415570768772729,2.6210339525293223,1.3685469573100573,9.73084960462176,0.7371011127432404,2.4616725910178876,5.707281781269663,0.6629612443914826,2.7230554763292436,5.837177010084773
0.004020666534921887,0.004020666534921887,0.18541549425168005,-0.034275507297050097,0.04763925567349833,-0.00011117620681447759,-0.3863973866385407,1.2825886432764693,-0.24746987734171683,0.9930049486096655,0.23779855510372283,-0.8238564958542873,0.2906590839713534,-0.7428801679832365,0.13671484789600816,0.15645317551951776,0.054311402151787,-0.46142945606101504,-0.022438506315534325,-0.5056290929322776,-3.6929239271725813,0.14215475883284398,-4.1881157400753475,-2.3606418225232764,1.59027682572607,-2.3100937297433646,1.1931123405631825,1.4344991961898361,1.4344991961898361,1.553524844076093,-6.961780901156929,8.358254709871115,0.17444984859190432,62.04930312900634,-273.2735420351877,76.441220545728,-343.9557900005057,-103.70448438912358,299.33268897836405,-134.61396912572974,311.6760888668513,0.2578324180506304,0.25578423493557023,0.9259898171791442,1.7285410682631552,0.9555832668893467,5.554282432225053,1.4210444460454443,1.2733950164644379,5.460243340359502,1.4473205114825534,1.7287642614013885,5.574129486785589
0.004548977104459643,0.004548977104459643,0.18600417331731947,-0.03415001103399029,0.046065126471759935,-0.00019440277220522743,-0.3892402901320582,1.2723783195595557,-0.2491307909066781,0.9819874205329324,0.2307735047177978,-0.8217250093620649,0.28401030810026734,-0.7418756652784128,0.13677942996287076,0.14689227504660568,0.006648844114097304,-0.3397988713031096,-0.020437324030577308,-1.129540595258968,-0.9465433537903709,-1.3103744761727614,-0.7350496239068314,-0.9554721474995386,-1.1751555990213554,-0.7648465214389174,-1.3246255956388429,-1.8713268583928302,-1.8713268583928302,-8.035145661609839,-19.33374933437162,62.299334935814294,0.9099677518063487,-459.3043134722534,2039.5151554039505,-987.5239334123062,2584.9920129071297,984.9795639562354,-2082.676878001453,1111.6374513235057,-1950.6063226836334,1.3757258531291825,15.052303789757184,32.74742138615923,2.3779543224528457,18.442248845476062,50.21281506525571,16.04812047357192,1.8289403393220482,43.78830224751362,19.35153746218244,1.2745588917245556,48.048336773375205
