X Position,Y Position,Z Position,Body Angle x,Body Angle y,Body Angle z,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,X Velocity,Z Velocity,Body Velocity x,Body Velocity y,Body Velocity z,Hip 1 Velocity,Knee 1 Velocity,Hip 2 Velocity,Knee 2 Velocity,Hip 3 Velocity,Knee 3 Velocity,Hip 4 Velocity,Knee 4 Velocity,GRF 1x,GRF 2x,GRF 3x,GRF 4x,GRF 1y,GRF 2y,GRF 3y,GRF 4y,GRF 1z,GRF 2z,GRF 3z,GRF 4z
0.03001404159640169,0.03001404159640169,0.13085436535036435,-0.543854217717998,0.1806775652064987,-0.45382136862501604,0.9976230370341875,1.4781440696856856,-0.4765435622428689,0.6059072286827819,-1.1545591115687177,-1.4350982072346623,-0.2342149223355426,-1.1731874428383444,1.110542738662571,-0.5228251834280092,-3.61168663789039,3.7427247434688407,-3.4478303070137106,6.8335113112237185,1.2224467251901459,0.015284246283932412,3.0075512233461437,-5.433586984501709,-2.6917414419318115,1.3754293914292244,-4.876430608003999,4.786197873151812,5.005917888157991,4.985455351968928,3.423612151540686,0.8911551389883432,0.39544767820810184,-1.2148787237381802,-0.7772606677741883,5.155227177587508,5.290596601181679,5.440119921430106,3.7723768990297053
0.03401491257299925,0.03401491257299925,0.12910326261374847,-0.5562571703599428,0.19470163975394195,-0.4661085978681009,1.0217880907447399,1.4820846371157537,-0.47673481068835155,0.6178762345925274,-1.1700419327260867,-1.4342373251409142,-0.22759256928561442,-1.188054663113986,1.1367904101771067,-0.46024277742418873,-3.351410196505645,4.140055511196292,-3.452608532805072,6.745415609383271,1.027437623403556,-0.1406161321349581,3.812122515643149,-3.1698744461327752,2.960736730058605,2.40946342502733,-3.583930856021105,4.884725082415854,7.0244664614950025,10.473977100279297,12.741277877375868,1.0214395729253516,0.564609193746144,-2.327885337772283,-3.121103246150257,5.909458473089995,8.011757100203512,11.902476295183332,14.233200814312383
0.035790225454616936,0.035790225454616936,0.12839815553424316,-0.5612547516483353,0.20103953289284693,-0.47147784641719004,1.0321650307907095,1.4832888584578836,-0.4768337702499485,0.6242016791931266,-1.1740021073674092,-1.4301403850797882,-0.22383097182515335,-1.1957892164716661,1.1477422020852892,-0.44703658242042305,-3.0809178676240356,3.9882453816767827,-3.458942321110609,6.550535506601521,0.4077036414218441,0.08671786769600039,3.8211517777852646,-2.153642331448535,2.8301741376627927,2.048930133305442,-5.620076741747858,4.776100287977595,5.124616467979018,4.799727083274309,8.285196146069348,0.9214111572881019,0.39622636412686046,-1.4438788018214284,-1.691633172996378,5.206408960578104,5.467510157255144,5.393514317821287,8.807252814190914
0.0415197671254207,0.0415197671254207,0.12630043224457904,-0.5742618020352458,0.21925924388229634,-0.48857405212211574,1.0623976711827252,1.4800866360673397,-0.4743671237475066,0.6407014969084327,-1.177878737300509,-1.4149240967603292,-0.21946682773509968,-1.2339090374263602,1.1847849880502133,-0.4073030256671277,-2.205579049659484,3.428565511349507,-3.5039212999631837,5.753382529121168,-1.635869304172811,0.8721604131349914,3.1382499088123508,0.6676468289584666,3.0993633995980208,-0.264753199228936,-9.975490128631549,4.789408385123266,5.075187747313816,4.8856913417674015,2.877911548384646,1.0309239102676664,0.3919334789689934,-1.281823327537824,-0.7023263948625887,5.1676692982052055,5.336578846482943,5.346160255357267,3.1982163111292765
0.045785253879083714,0.045785253879083714,0.12489977464724977,-0.580933660733301,0.23073925015972155,-0.5011223014071217,1.0818276625965895,1.4720594193973753,-0.4705089061369464,0.6523827003951408,-1.1713321023810142,-1.4050652509809858,-0.22335177112703064,-1.275481550412429,1.2112810501101683,-0.37967247518505987,-1.537599234865401,3.0198334619629192,-3.5463729883979793,5.158979686719246,-2.833706411517192,1.2713546349019982,3.5507007369092904,3.0583539368247794,2.2994192609509483,-1.9136861591471208,-13.417658104219488,5.0602614120755085,7.996566241598849,8.312328798369723,7.586223998594805,1.149034381601265,0.6195848456815318,-1.981514024358607,-2.1282572449998334,6.0152476537401665,8.877287199986641,9.633869268526315,8.864532989264651
0.04767327589732687,0.04767327589732687,0.12425750749844673,-0.583766694833598,0.2355962784571873,-0.5064847987100106,1.0908010566082775,1.4690322744080497,-0.46834970498188777,0.6587418402848905,-1.1680189072590872,-1.4043675968150633,-0.2220041787674749,-1.307128680079232,1.227588264689619,-0.44345807658313263,-2.0880834008336513,3.1643431452490485,-3.3807004229352864,6.156585910571323,-1.2393695596864158,1.582611094189016,3.8133659575579926,0.9756872730869596,-1.0439515903085643,1.3083466825120744,-21.950217373568897,4.809896066860898,5.308952564019267,4.829228278434412,77.38134252612186,1.0187393907874185,0.33657757899163093,-1.2101392087623943,-13.778053151744126,5.2195072848357595,5.612336470717398,5.380603312949117,79.03294216567231
0.053887462274096416,0.053887462274096416,0.12161282376174198,-0.5979778663254914,0.25147207073792466,-0.5219771731713546,1.1262520181205786,1.4745382447915918,-0.45806656352805697,0.6747538868786543,-1.1814868167669503,-1.4336349564164088,-0.21539148405266678,-1.4243530065425674,1.3061652236855907,-0.6352564490437419,-3.6846138262227774,3.27176945230161,-2.9373157078645624,8.195283709088725,3.573706618068568,2.5367979479122904,2.970031257868459,-6.512508310596529,-11.038939719428344,0.3591987795124959,-23.52731943647979,4.81231584579638,5.205974771483011,4.82830654391475,1.6432699340400518,1.153838051278828,0.34033869943126327,-1.2176366042708806,-0.4595083439070431,5.183570157439809,5.441724970607406,5.287497034268802,1.9164234818878398
0.0586392607712886,0.0586392607712886,0.11910200942655508,-0.6130267428956255,0.2630473947026976,-0.531872169786266,1.1574656497463816,1.4939671595434563,-0.44822724432110256,0.6857038049178528,-1.214569675111219,-1.4866560773271833,-0.22123006229447775,-1.4968597082816983,1.3666652739833005,-0.7771949762653902,-4.768353588183632,3.2198198724470246,-2.629338830040774,9.30759028922462,7.400166204023731,2.958938084801097,3.3230830063245276,-12.117699336123458,-18.860135424992613,-4.182516476725561,-16.040489306237195,5.767971206214453,9.517869014346946,6.347860989117996,3.7503797275442117,1.563622611497983,0.6526541927027999,-1.8512355549132535,-1.3132448966088304,6.714030557236335,10.301231367289688,7.654204474541104,4.838709742950382
0.060774970557216666,0.060774970557216666,0.1179771522316815,-0.6199973880172169,0.26817586786762493,-0.5360442265385015,1.1710292348313818,1.5038016177265057,-0.4446514228382234,0.6915815044876941,-1.2314292902631336,-1.512002038550222,-0.2253615172442392,-1.5204841196641092,1.3894757682105896,-0.6648204596489392,-4.216559496629958,3.3850092801859155,-2.7497930532264125,8.089577480059454,5.055851507986254,1.7762655745243106,3.4358981108896134,-9.62817161304128,-13.36172998408695,-1.875948225501536,-11.856142943665187,4.855767155998228,5.540000785004132,4.654614152397005,4.246480166759865,1.2888125386397942,0.35162095392718196,-1.523312827797899,-1.0905184686739222,5.30139814305026,5.819087807597634,5.271302239505215,4.676890307960499
0.06780731688242,0.06780731688242,0.11562221076200863,-0.6364229259182876,0.2860400882953956,-0.5505413801492044,1.2007753047478362,1.5097176194901636,-0.44446398910904666,0.7053035899822266,-1.2592753019361669,-1.5332720067249346,-0.2203400770434507,-1.5332973876378526,1.4757100996031507,-0.2973274832266317,-2.470569500620209,3.891737247706754,-3.162365588259704,4.040222449547529,-2.5053163936526897,-1.7571609261880894,2.5084103025958258,-1.6653181872476535,4.448493726555453,4.242543079522656,5.602235791065731,4.821376363740269,5.312879431114012,4.684089220294565,1.7150497453871758,1.3884082029239393,0.34572755687054657,-1.5308485522983242,-0.5050080224937736,5.238901301462966,5.528450543387405,5.220247767600697,1.9798867929600588
