X Position,Y Position,Z Position,Body Angle x,Body Angle y,Body Angle z,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,m.tt
0.0,0.0,0.21942222104906084,0.0,-0.06831729042294009,0.0,0.21274965686237277,0.33441958358582224,-0.5289043883962901,-0.00824890476209011,-0.5739896077904731,-0.6895000882925324,-0.5568877850870877,-0.7012932921514293,0.0033387944194581205
-0.005606692599164603,-0.0016811771471174017,0.2085844353248559,-0.051395704919691754,-0.06535358423312948,-0.03171893673228372,0.2784573860356828,0.5169798405650151,-0.5363773355514044,0.11587237808876713,-0.6303057774787374,-0.8143244742898973,-0.46540121482500135,-0.8176113964197762,0.004907005610234272
-0.009413931186273252,-0.0027506733380968816,0.2017089499740232,-0.093423954250258,-0.062192747332534326,-0.05221698505284746,0.3321052490313865,0.6489199719230814,-0.5166544098833019,0.1973554358785625,-0.6697179329283569,-0.9025394791401374,-0.42891549263707046,-0.8768025920390176,0.003556327149906835
-0.01091123608954714,-0.0032388989028805625,0.19896735593508297,-0.11120837263727706,-0.060380596452919426,-0.06098187505726932,0.3539821819960932,0.7105478471823201,-0.5030944425156112,0.22389341400487775,-0.6833502012378612,-0.9422506765737675,-0.4203340655298624,-0.8855962941336213,0.0015527229597056547
-0.014869622600019342,-0.005261637765550053,0.1906847954285555,-0.161030957384759,-0.0584010264108945,-0.08750914379539014,0.40357240852583387,0.9036789539538194,-0.47290963126577906,0.28677095652585866,-0.7435909712471191,-1.0228102917819684,-0.402632938237508,-0.9221376317968215,0.004905970722191455
-0.016947590218608966,-0.007314277279822873,0.1853959868871112,-0.18860316203168379,-0.059237305693804254,-0.10558357789228694,0.42875955858079057,0.997892215521543,-0.46426840508887496,0.316924984119688,-0.7801931755316499,-1.0713119056798266,-0.3999431547290112,-0.9501274453365913,0.0035555771201059017
-0.0176194421222549,-0.00835525920345715,0.18328419139623822,-0.19865990075095466,-0.05948390256661063,-0.11316760770327124,0.4383690341936486,1.0369033734758653,-0.4636501517196279,0.327945229566189,-0.7888833327691699,-1.1011210404986846,-0.3993646311190799,-0.9646130620055272,0.0015545544174235815
-0.01925321093501666,-0.011807525454282227,0.1765760477900606,-0.22854730465797296,-0.06264485576055907,-0.13660469496756136,0.4709799865647534,1.176659703119142,-0.46336081260309014,0.3502753961792125,-0.8390910732493825,-1.1637574523544316,-0.4073110577928403,-1.0221829631910717,0.004911757380970272
-0.019986796144498435,-0.01454816616715213,0.1719096277981004,-0.24696572666224026,-0.0664889724486212,-0.15283469201841407,0.49979345213588805,1.2605262029547344,-0.4651045582316282,0.3571118680491918,-0.8773029177691081,-1.2165921063470586,-0.4227039832753756,-1.0721294487362136,0.003559770971377496
-0.020191535935339244,-0.01580016799030569,0.17001740761700457,-0.2541712210891106,-0.0676784883526382,-0.15966765032755154,0.5139020619727774,1.2900507349932666,-0.46616130285423923,0.3596241052827291,-0.8859976870047223,-1.255259973112778,-0.4276660096032139,-1.0975385140407559,0.0015535448908643446
-0.020553605345790076,-0.01966859918825759,0.16435506877592587,-0.27759337916730403,-0.06979794208377561,-0.18153762718549427,0.5525893027543218,1.3799762019999529,-0.46684804455322637,0.36727078644535194,-0.9280985284604443,-1.3268078998557653,-0.4359388659932327,-1.1696520735970575,0.0049085676891369445
-0.020515380425056455,-0.022445285952311562,0.1606496427222678,-0.29451333911922956,-0.06886006781247507,-0.19735626569608028,0.5759238141645292,1.4427623770893052,-0.46575713428082266,0.3752907082996399,-0.9516823780775653,-1.3768409799297712,-0.4352878372222213,-1.2106925823235364,0.003557459258581197
-0.020362032453084742,-0.023690196207830787,0.15929650760145866,-0.3012063488873553,-0.06647449802524283,-0.20397822242448024,0.5864403053126986,1.468892585959662,-0.46558717374158787,0.3819679508139149,-0.9387031701892163,-1.4457987805672687,-0.4296336903758262,-1.2259576984074938,0.0015522362319950744
-0.01922319731923958,-0.027596111299995774,0.1556407098350055,-0.3217919616976788,-0.06010423342006119,-0.2255243999420342,0.609995187939508,1.5061398146086746,-0.4656922756501419,0.3943678141367449,-0.9725604184624351,-1.4803240732271494,-0.41473953905424654,-1.2498949748007415,0.004904432861313701
-0.01767075626389014,-0.030492167387273773,0.1538599170463057,-0.33468337706717566,-0.053441953106012414,-0.24119869313383158,0.6212594211290077,1.4973743270221607,-0.46802921368719985,0.40247555892302467,-1.0095404829716055,-1.4675000929588684,-0.4019409181257586,-1.2392928507462264,0.003554462563320371
