X Position,Z Position,Body Angle,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,m.tt
0.20102811643703578,0.21831839567134242,1.6669088072942795,-0.5141973137256923,-0.40146873812286166,0.42040698310339575,-0.061661182374051715,-0.06323428378940726,-0.033166742006925966,-0.686690000048477,0.0903174268542225,0.0027819664139876465
0.2056662503246394,0.21677878215130236,1.6739332296378673,-0.5296608988910058,-0.38620844829994005,0.4459341063710498,-0.08856682248629566,-0.050728208693804525,-0.03867682679775103,-0.7017088036530938,0.15214494806643442,0.008789878253450567
0.20924532751022898,0.21549791564578918,1.6795940100290332,-0.5478458618979681,-0.3509616903979397,0.4783280808286139,-0.1343213996374062,-0.03985467196776235,-0.04591028159675439,-0.7091737883337594,0.19201095906356247,0.006370419184344556
0.21581328447223766,0.21739452428197806,1.6637416186276175,-0.6842504675991063,0.017169830148869192,0.5082292455152915,-0.11616297198643377,0.0010614050702590638,-0.02594362445171222,-0.717633723594647,0.3434871812591127,0.018515673869177185
0.23460892609643683,0.22010407211359645,1.627465253624821,-0.6327922582364749,0.20674166322824966,0.6762000600874849,-0.5100844981056609,0.09145137766670222,0.058962096130587754,-0.6063995464622296,0.5464748934412051,0.05850197122162637
0.24718541166099547,0.22096843614529008,1.6065564315466447,-0.5861375793078161,0.28909155423104926,0.7667394437265685,-0.9038116097370159,0.24474446217842966,-0.07239904496357355,-0.4017202254918514,0.43719292480030175,0.04239900360917215
0.24761256421830255,0.22104139613053575,1.6061479509317258,-0.5907156022084872,0.3020421213434876,0.7677114391242311,-0.9158686532177798,0.25221827911175526,-0.08206264044687914,-0.3954192914006459,0.4299521792027754,0.0015508315469681122
0.24887214257170473,0.22134705993416381,1.6064060293520857,-0.6055231904533722,0.33392929080335765,0.7666653182060432,-0.9483290543513024,0.2708293078941649,-0.10672998608319925,-0.3862900877822515,0.4224048956011591,0.00489999463002988
0.2497830926439319,0.2215430926703946,1.607107607531929,-0.6144014235047136,0.3478392361195164,0.7629823601295537,-0.9644516276716255,0.28232664915694655,-0.1207466631941358,-0.3789010448127521,0.4139436941565853,0.0035512459779605265
0.25017926023882425,0.22161880752994356,1.6075408589968032,-0.6179141520832127,0.3519125288350581,0.7606774072728872,-0.969767206901869,0.28672989788157205,-0.12554679561042556,-0.37552370255993506,0.40958070503876604,0.001550543168260532
