X Position,Z Position,Body Angle,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,m.tt
0.0,0.22375920244782072,1.5681242186946087,0.2163578880693898,-0.15468054726902497,-0.05995533548288448,-0.1568556374577789,-0.24227198847438394,0.15863202762862316,-0.2470441258496385,0.29894865717923613,0.003333414730687818
0.0010647913664404564,0.22389547701803172,1.5683478726531592,0.20575077510081255,-0.12453700565897036,-0.06305410081782489,-0.14150208291185634,-0.22674331000998937,0.13641358712138354,-0.2405373263795577,0.29479110132964015,0.004899099114757277
0.001842213871244574,0.22411712411014093,1.5682430845504094,0.2020773658053145,-0.10987895345719309,-0.06481496250596243,-0.13048750209351961,-0.21793015841069888,0.1260254445837936,-0.2349224423568886,0.29081675439503973,0.0035505969578588648
0.0022480946456021346,0.22422942748679658,1.5682406959221724,0.20121967325092557,-0.10498295979596244,-0.06609094375521433,-0.12417351328494096,-0.2137510420882337,0.12128623905955503,-0.2319022159887056,0.28841468673746806,0.0018378416514330809
0.00351746929455315,0.22454445444631388,1.5679771414555994,0.20140837202933426,-0.10074995451324237,-0.06837350947457468,-0.10718980584722712,-0.20113697996319185,0.10812055489185507,-0.22182553479437897,0.2803490674043204,0.005806829400955671
0.004411350308068427,0.22480440091480294,1.5683860973060322,0.20350884112383577,-0.10941328891281392,-0.06971588852493553,-0.09759521965418529,-0.19493432250101916,0.10243178347428894,-0.21421571251514535,0.27184569789710056,0.004208469827388761
0.007556721484770135,0.2251368798132941,1.5686279378911208,0.22057903569657886,-0.18737188965372434,-0.06471190229402245,-0.08006632595261161,-0.17335706810827844,0.08638481066831373,-0.18764904681888037,0.24570689741685767,0.015260805691493573
0.015775119428159255,0.22605519192147963,1.5692012382081308,0.27300538671299196,-0.49499264004180543,-0.03958389092809926,-0.05905575152470924,-0.12982343260651596,0.07024954081498752,-0.1282418030423712,0.19756118533665,0.04821791643612894
0.0204656464911933,0.22644979321312242,1.569521996961064,0.29902093275737657,-0.7054446568369329,0.00012913183834458559,-0.0987265998894225,-0.1249433660768699,0.10127596275033425,-0.09167066538327683,0.16454547677175502,0.03494568764627193
0.020655187358365853,0.22644970466440034,1.5695904025896732,0.2996706679616187,-0.7133446571428594,0.0021202729271177453,-0.10127659448224227,-0.12523275805874226,0.10334990435798636,-0.08990757310607818,0.16246601603632488,0.0015510414845136822
0.021238000075805785,0.22643066384516655,1.5700164894732156,0.29998861805383364,-0.7327659863901074,0.006088688411299849,-0.1054059145379782,-0.1250865210645613,0.10693128358074017,-0.08521254467250715,0.15687408724972568,0.004900657946972586
0.0216459968003663,0.22639674340881233,1.5704051302942434,0.2986166700059827,-0.7412447285012362,0.007005823783250928,-0.10478899748840967,-0.12390718661743849,0.10699748841092804,-0.08223232293542274,0.1533091913389234,0.003551726713514114
0.02181885981052447,0.22640368991219523,1.570439257491995,0.29740553623059107,-0.7423535526682581,0.007593642293044115,-0.10453500754943947,-0.12302660760637035,0.10666208888160857,-0.08108521758916094,0.152428470528791,0.001552048030970532
0.022345816946442113,0.22647900448498703,1.5701546039850138,0.2913462739784036,-0.7360166969665551,0.009675307030296497,-0.10318066721637549,-0.119117994758093,0.10430070129396932,-0.07784360868680879,0.15142924869233212,0.004903838222902301
0.022714138947528262,0.22650658999794593,1.5699438869532663,0.28524475508002745,-0.724875019775119,0.009629475161000746,-0.09914911385366476,-0.11547781025185987,0.10085616135824668,-0.07547677454876757,0.1505663104988271,0.0035540316021815954
0.023770721392287603,0.22649783229181428,1.5700282083845432,0.262358263016114,-0.6683365530949938,0.00908034405505606,-0.08880467710037139,-0.1041336476007287,0.08711520942192133,-0.07058994332077702,0.14987613563105973,0.010518258468684039
0.026660323026977673,0.22666366029953727,1.5702033467020415,0.1647671976856881,-0.4339824749530664,0.01630430472674284,-0.07821326605769377,-0.09124185278022406,0.08617911908213796,-0.045806562619554334,0.12478432848480275,0.03323340314720635
0.02852315668171179,0.22681630987600268,1.5705485041197986,0.07790571113465214,-0.23996138273691406,0.03896723347013884,-0.10861864423491285,-0.09053419036055663,0.10025604620364068,-0.028698646073872625,0.10561878768509497,0.02408573848982698
0.028661348111274278,0.22682283887136975,1.5705570331119836,0.07127793011012001,-0.22528761749445958,0.041505289152396665,-0.11255260512976382,-0.09034628957982047,0.10108771628958228,-0.027674038152788103,0.10475079037796983,0.0018068771733208422
0.02910046104314601,0.22675676510017861,1.570704463499021,0.051427606602555194,-0.1812601341174076,0.048938732341827516,-0.1241795719808094,-0.08953975129569477,0.10288971435177371,-0.02458372243167734,0.10194198712737575,0.005708994289998159
0.029419877347159836,0.22661374016778602,1.5710794327254891,0.03762941750195219,-0.15151634245441836,0.05345917017068542,-0.1316426530096974,-0.08892801947010984,0.10334841322206526,-0.022661156667662,0.0997587074145011,0.004137564332479471
0.029540662474870513,0.22655697802770147,1.571248192765424,0.03304679093461495,-0.1416286134251829,0.05491738841034878,-0.1340437739717584,-0.08864649653520063,0.10334727300621133,-0.022146305219067866,0.0992845130900964,0.0015541831859318123
0.029922895913376105,0.22653654237957993,1.5712947502630024,0.02472802751864905,-0.12144203662570018,0.058620531424496504,-0.1382873374969265,-0.0884735158370183,0.10625776267548256,-0.020691504000922723,0.09960662719226779,0.004910584440994903
0.03019847961201513,0.2265756214727355,1.571160023166736,0.02201951411752629,-0.11306519455094663,0.06031772666319949,-0.13884982654511752,-0.08897879862833642,0.11014344434947457,-0.01969744279616145,0.10046453429254387,0.003558920889145334
