X Position,Z Position,Body Angle,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,X Velocity,Z Velocity,Body Velocity,Hip 1 Velocity,Knee 1 Velocity,Hip 2 Velocity,Knee 2 Velocity,Hip 3 Velocity,Knee 3 Velocity,Hip 4 Velocity,Knee 4 Velocity,GRF 1x,GRF 2x,GRF 3x,GRF 4x,GRF 1z,GRF 2z,GRF 3z,GRF 4z
0.0,0.23499011662769223,1.570792601669559,-0.015122711435006564,-0.0116258567649985,0.01579492181947574,0.011799054457252132,-0.015286798435260072,-0.011834778913756842,0.01641512507224294,0.012179858249610133,-0.0009130358423448228,0.0,-5.2736849731096316e-05,-0.006671577800845522,-0.0012211518254540755,-0.0077262855154703915,-0.00019972142537045748,-0.0076104431849903535,-0.00032153913307895495,-0.008650983780077373,0.0006864420605097448,-0.07202561420939624,0.07016178715163246,-0.07455283937054169,0.07371165606110441,6.666978731512429,6.446896051810014,6.758570889298308,6.5850082329996615
-1.7041248130697265e-05,0.23499002127829394,1.5707925258698872,-0.015238168561613112,-0.011657337400351311,0.01566374842960029,0.011782839735390724,-0.01540568711945571,-0.011862972213112445,0.016281579853756764,0.012165917884552038,-0.0008825980838808917,-1.5550477731971514e-05,1.831856924871719e-05,-0.005720802386511105,-0.001878610656747603,-0.0063415051460187066,-0.0012730820122200082,-0.005217173460297442,-0.0023612706653142255,-0.005756287541889137,-0.0018337872231512019,-0.07331159093416773,0.0709399294046631,-0.07439063336946106,0.07240373824522894,6.775607289303719,6.519619395588541,6.732932302694098,6.4668001485264766
-2.953375650097979e-05,0.23498960159916646,1.5707925442908681,-0.015320539683919733,-0.011682586682036755,0.015574149474711006,0.011764666065613468,-0.015475529875591079,-0.01190022790749024,0.016205649752773176,0.012134646934602322,-0.0009252793127401918,-4.78211049509936e-05,-2.9589674248002005e-05,-0.006320402786912492,-0.0016596490392948725,-0.006758990029655225,-0.0012285699729757656,-0.005060570535355343,-0.0028669918049575526,-0.0054243215003624825,-0.0025074719838785093,-0.07328255223672331,0.06943742760467275,-0.07727651373284994,0.07075442305103197,6.762635188802115,6.384566646609735,6.9742105885668435,6.336043524870621
-3.472340727813395e-05,0.2349909839158804,1.5707930104829415,-0.015355880133633187,-0.011692000391499365,0.01553664674431251,0.011757384375572156,-0.015503404092347456,-0.011916796694303679,0.01617598517542756,0.012119855106496246,-0.0009231905484746194,0.00013848891457904963,5.282493340648362e-05,-0.00620959535248803,-0.0017485705860961532,-0.006558306657694675,-0.0014037101553131463,-0.004798591277484174,-0.0031007445869380046,-0.005072203732557965,-0.0028276139967550904,-0.071854177967702,0.07207966857784465,-0.07482584434287887,0.07270411237055674,6.633325297792759,6.626379025431159,6.758446311524982,6.503308564131651
-5.103926124280519e-05,0.2349899726336426,1.5707929761215005,-0.015464709273033105,-0.011723780935113736,0.015423607134206315,0.011729827874724054,-0.01558109442709071,-0.011978417006970941,0.016095846367146893,0.012060774387033239,-0.0009284998146403076,-0.00014138229421427846,-2.530242489647373e-05,-0.006288433211368193,-0.0017172972801836007,-0.006421265813459073,-0.0015792998521727,-0.004101691262485873,-0.003812809962244521,-0.004112626800706677,-0.0037914001252971397,-0.07188022422691054,0.07167287274543144,-0.07514422402203369,0.07195457178972164,6.623178490946657,6.598400224321072,6.752572085969317,6.467304468449939
-6.312670922181625e-05,0.23498916260495917,1.5707929379654166,-0.015549796096478717,-0.011743047871560289,0.015337703787694765,0.011711481055923303,-0.015632917049512165,-0.012029560840445057,0.01604494217000252,0.012008890993551471,-0.0009605737437781335,7.357199398926564e-05,3.5847921985856216e-05,-0.007085014212037898,-0.001221195427398338,-0.007082491035867925,-0.0012128429835869983,-0.004042927169089573,-0.004136455431639713,-0.0038928360032713803,-0.004269286021752935,-0.07278599870668367,0.07193136453789695,-0.07685073847381885,0.0715324575989702,6.7007148144267985,6.627356540361478,6.875432109161527,6.4586026717492615
-6.843410358834832e-05,0.2349909785168944,1.5707930131548093,-0.015588725003256624,-0.011750004805376345,0.015298924065569337,0.01170444112202234,-0.01565358772006654,-0.012054014782471152,0.016025446822826795,0.011983371922258025,-0.0009448971234633996,0.000188077879784631,7.6372529912857e-06,-0.006895263980313423,-0.0012725654461117244,-0.00684780430665415,-0.0013072943600677637,-0.0034498385510980355,-0.004574307568888995,-0.0031910080837289716,-0.004811377709282521,-0.07033742232336326,0.0734917113612994,-0.0745337680824325,0.07284539888824204,6.476524812032745,6.770583903416044,6.659232343580638,6.586821828525109
-8.474514244465929e-05,0.23498994487081723,1.5707929505201068,-0.015708943351605793,-0.011770833638982781,0.015180715478275725,0.01168187566460408,-0.015698044729673424,-0.012147444518306388,0.015988797163483427,0.01188265349546676,-0.0009108501208638308,-0.00016238763679283372,-9.206672354078833e-06,-0.0069190549918384395,-0.0009660639424069589,-0.006737359168939992,-0.0011294182909736856,-0.0015171152255554884,-0.0061426546931452174,-0.0008640694023754137,-0.006757484991083426,-0.07036584496126697,0.07318645270903268,-0.07514884657209198,0.07192957332340688,6.47448596042958,6.748537651120422,6.657608361041445,6.565642528560966
-9.628215408463359e-05,0.2349891957633367,1.5707928691895856,-0.015800686534844417,-0.011779136441044868,0.015091931486239366,0.011670874830908763,-0.015706782945953048,-0.012235290267539117,0.015990734237018876,0.011784718325910895,-0.0008987502469263491,0.00012015586949758253,-6.255963646780274e-07,-0.007541853314451049,-0.00026834597383611886,-0.0072593709824026725,-0.000528218741551216,0.0001908277039222298,-0.0076785705054991105,0.0012238765493011532,-0.008657464267970339,-0.07097487624856003,0.0738567535870236,-0.07665004657931185,0.07169660537133637,6.531958535199609,6.810819531383571,6.734542857780369,6.608255330207945
-0.00010127573999601589,0.23499094249470112,1.5707929545630686,-0.015842663115533475,-0.011780559088951852,0.015051527882718137,0.011668006344752338,-0.01570067479633271,-0.012282793056118407,0.016003599299999813,0.011730803189110683,-0.0008639022049158993,0.00017842214991228766,7.581071457548678e-06,-0.007282832880267864,-0.0002263344504998185,-0.0070049446969607946,-0.0004817998561206811,0.0016870408921892852,-0.008822202375294979,0.0029804984304892274,-0.010050671754836593,-0.06851921136564298,0.07517002556288022,-0.07504660113341144,0.07201658918760678,6.3099043579388345,6.928828792072617,6.565339432390925,6.673482150213783
