X Position,Z Position,Body Angle,Hip 1 Angle,Knee 1 Angle,Hip 2 Angle,Knee 2 Angle,Hip 3 Angle,Knee 3 Angle,Hip 4 Angle,Knee 4 Angle,m.tt
0.006065563180460677,0.23377102139892983,1.573794171825547,-0.17422537938924212,0.1976517548773914,0.12748487658508745,-0.021349331935939353,0.12873400789402742,-0.13221483120395797,-0.11471297494091555,0.12161401699755904,0.004999207364896563
0.006135733376078514,0.2336914444540241,1.573350906408908,-0.17386369969380108,0.19884040731053787,0.127664871529916,-0.019800830907505063,0.12030452192891142,-0.1101559528379232,-0.12437081031950789,0.14235732830751394,0.0036231498987318034
0.006638734979421238,0.23375279610302518,1.5740788713071259,-0.17645308489877748,0.205931135687487,0.1277712142599885,-0.01794072941355422,0.09969657441265953,-0.06783910750397923,-0.15874911087387744,0.20810037150039118,0.01383570172872961
0.010055839006374724,0.23345580858920872,1.5749737903621346,-0.18739023789769524,0.2530656843307401,0.1395395180944721,-0.014927467691672025,0.08732630903798094,-0.017804497452700754,-0.18940405154538917,0.2244582529826237,0.043715169649461316
0.01447684739332378,0.23291336401380147,1.575655092311772,-0.19499898490838602,0.3028837047816779,0.15675829479747505,-0.013416364787139895,0.11126642736877156,-0.029668839872172045,-0.14273271878344992,0.07792481112329913,0.031682345005459744
0.021631904835095524,0.23471745858746149,1.5694786720634508,0.022365943454998538,-0.04456584339225198,0.14780790857208628,0.10111657310532116,0.1336164512471794,0.0033676018403062946,-0.07134271886698124,0.01617875988338039,0.0419788743378815
0.03141245704119077,0.2348685393368775,1.5712008864138485,0.02406603731472202,0.02767067941974959,-0.05337295640242397,0.22992579018914616,0.01681497542752646,0.12970236312172068,-0.025031890847706448,0.002075947497531965,0.13263610688883976
0.040010161860382254,0.23429139381240416,1.5749088874735098,0.15197501964560658,-0.15976821688154483,-0.10687325876905011,-0.03480106550341773,-0.009842856208695166,-0.016239827929985847,0.007502912211778031,-0.0009661265138206695,0.09612733822903152
0.04517956973809432,0.23438176458765195,1.5736085257619745,0.29207120478460136,-0.3303708718543082,-0.0965531836077705,-0.007872323012920887,0.0036536935178682825,-0.11917856622174197,0.03676406606644612,-0.01132007313412162,0.041889721001028946
0.05273050441074864,0.23449019802025545,1.5706377358635744,0.1676168020823664,0.15550287753859993,-0.06815825972571436,0.008501957238619753,-0.08991102952028178,-0.06761929201915402,0.07332114022656805,-0.011145451093471287,0.13235441873729314
